EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
PHUR82101,01,1982,2.0,AAJ,"Yasuda, Ichiro",,,,,57:234 (1983),,
LEON82101,01,1982,2.0,AAJ,"Guha, Kamal K.",,,,,57:234 (1983),,
DORJ82101,01,1982,2.0,AAJ,"Guha, Kamal K.",,,,,57:234 (1983),,
LSIS82101,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:235 (1983),,
LSIS82301,01,1982,2.0,AAJ,,,,,,57:235 (1983),,
LANG82301,01,1982,2.0,AAJ,"Buscaini, Sylvia Metzeltin",,,,,57:235 (1983),,
LANG82302,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:235 (1983),,
GAN482302,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:235 (1983),,
GAN482301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:236 (1983),,
PK2982301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:236 (1983),,
MANA82101,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:236 (1983),,
MANA82302,01,1982,2.0,AAJ,"Audoubert, Louis",,,,,57:236-237 (1983),,
MANA82301,01,1982,2.0,AAJ,"Balmat, Jean-Paul",,,,,57:237 (1983),,
MANA82401,01,1982,2.0,AAJ,,,,,,57:237 (1983),,
NEMJ82101,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:237 (1983),,
KGUR82101,01,1982,2.0,AAJ,"Guha, Kamal K.",,,,,57:237 (1983),,
KGUR82301,01,1982,2.0,AAJ,"Mesaric, Vladimir",,,,,57:238 (1983),,
LAMJ82101,01,1982,2.0,AAJ,Chung Keel-Soon,,,,,57:238 (1983),,
LAMJ82102,01,1982,2.0,AAJ,,,,,,57:238 (1983),,
ANN282301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:239 (1983),,
ANN482301,01,1982,2.0,AAJ,"Stefan, Wolfgang",,,,,57:239 (1983),,
ANN382101,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:239 (1983),,
ANN382301,01,1982,2.0,AAJ,"Noguer, Xavier",,,,,57:239-240 (1983),,
GLAC82301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:240 (1983),,
ANN182101,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:240 (1983),,
ANN182102,01,1982,2.0,AAJ,"Ziegenhardt, Herbert",,,,,57:240-241 (1983),,
ANN182301,01,1982,2.0,AAJ,"Porter, John",,,,,57:241-242 (1983),,
ANN182302,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:242 (1983),,
FANG82101,01,1982,2.0,AAJ,"Sigayret, Henri",,,,,57:242-243 (1983),,
ANNS82301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:243 (1983),,
TILI81401,01,1981,2.0,AAJ,"Sherpa, Sarkey Tshering",,,,,57:243-244 (1983),,
TILI82101,01,1982,2.0,AAJ,"Guha, Kamal K.",,,,,57:244 (1983),,
TILI82301,01,1982,2.0,AAJ,"Sturm, Guenter",,,,,57:244 (1983),,
NILN82101,01,1982,2.0,AAJ,"Guha, Kamal K.",,,,,57:244 (1983),,
NILN82301,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:245 (1983),,
NILC82101,01,1982,2.0,AAJ,Kim Ki-Heyg,,,,,57:245 (1983),,
BHRI82101,01,1982,2.0,AAJ,"Guha, Kamal K.",,,,,57:245 (1983),,
BHRI82301,01,1982,2.0,AAJ,"Axt, Wolfgang",,,,,57:246 (1983),,
DHA182101,01,1982,2.0,AAJ,"Guha, Kamal K.",,,,,57:246 (1983),,
DHA182302,01,1982,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,57:246 (1983),,
